x,y
7.2,0.7936678638491531
7.26,0.8287188723898353
7.32,0.8607873878989016
7.38,0.8897579983503596
7.44,0.9155264408310896
7.5,0.9379999767747389
7.56,0.957097725720417
7.62,0.9727509563950137
7.68,0.9849033340715608
7.74,0.9935111233134158
7.8,0.998543345374605
7.86,0.9999818896898556
7.92,0.9978215790530743
7.98,0.992070188249698
8.04,0.9827484160758622
8.1,0.9698898108450863
8.16,0.9535406496505743
8.22,0.9337597718176507
8.28,0.9106183671457304
8.34,0.8841997197019127
8.4,0.8545989080882804
8.46,0.8219224632616022
8.52,0.7862879851369292
8.58,0.7478237193548899
8.64,0.706668095735878
8.7,0.6629692300821833
8.76,0.6168843911210448
8.82,0.5685794345070697
8.88,0.5182282059209752
8.94,0.4660119154128711
9.0,0.4121184852417566
9.06,0.3567418735583286
9.12,0.300081376365085
9.18,0.24234091026592378
9.24,0.183728278586583
9.3,0.1244544235070617
9.36,0.06473266689756589
9.42,0.0047779425901285115
9.48,-0.05519397715107451
9.54,-0.11496725817687455
9.6,-0.17432678122297965
9.66,-0.2330589161070144
9.72,-0.2909522905664908
9.78,-0.347798550970695
9.84,-0.4033931121687696
9.9,-0.4575358937753214
9.96,-0.5100320402437544
10.02,-0.5606926221358159
10.08,-0.6093353160635608
10.14,-0.6557850608566536
10.2,-0.6998746875935423
10.26,-0.7414455212290604
10.32,-0.7803479516532316
10.38,-0.8164419721261122
10.44,-0.8495976831508637
10.5,-0.8796957599716702
10.56,-0.9066278820139979
10.62,-0.9302971227216958
10.68,-0.9506182983879301
10.74,-0.9675182747245378
10.8,-0.9809362300664916
10.86,-0.9908238742642129
10.92,-0.997145622475965
10.98,-0.9998787232348542
11.04,-0.999013340329543
11.1,-0.9945525882039892
11.16,-0.9865125207488105
11.22,-0.9749220735246146
11.28,-0.9598229596252282
11.34,-0.9412695195556018
11.4,-0.9193285256646757
11.46,-0.8940789418370271
11.52,-0.865611639308158
11.58,-0.8340290696261731
11.64,-0.7994448959368459
11.7,-0.7619835839190333
11.76,-0.721779953842635
11.82,-0.6789786953612167
11.88,-0.6337338467854989
11.94,-0.5862082407117828
12.0,-0.5365729180004349
12.06,-0.48500651221350166
12.12,-0.43169460672678167
12.18,-0.37682906683007494
12.24,-0.3206073492193382
12.3,-0.26323179136580094
12.36,-0.20490888331957058
12.42,-0.1458485245684275
12.48,-0.08626326862634386
12.54,-0.02636755807035826
12.6,0.033623047221136695
12.66,0.09349264585116929
12.72,0.15302577191607933
12.78,0.21200817045009251
12.84,0.2702275685118367
12.9,0.32747443913769303
12.96,0.38354275541260996
13.02,0.4382307319445118
13.08,0.4913415510738144
13.14,0.5426840712044526
13.2,0.592073514707223
13.26,0.6393321329197168
13.32,0.6842898458495511
13.38,0.7267848542786822
13.44,0.7666642220658663
13.5,0.8037844265516209
13.56,0.8380118750848066
13.62,0.8692233858119117
13.68,0.8973066309987074
13.74,0.9221605412887859
13.8,0.9436956694441048
13.86,0.9618345122584524
13.92,0.9765117894852975
13.98,0.9876746787761803
14.04,0.9952830057841274
14.1,0.9993093887479176
14.16,0.999739337036853
14.22,0.9965713033013819
14.28,0.989816689041886
14.34,0.9794998035755914
14.4,0.9656577765492774
14.46,0.9483404243126435
14.52,0.927610070633246
14.58,0.9035413223982337
14.64,0.8762208011101247
14.7,0.8457468311429343
14.76,0.8122290858806044
14.82,0.7757881930112588
14.88,0.7365553003977854
14.94,0.6946716040871542
15.0,0.6502878401571168
15.06,0.6035637422291092
15.12,0.5546674665997031
15.18,0.5037749870595203
15.24,0.45106946157762406
15.3,0.39674057313061206
15.36,0.3409838470487362
15.42,0.2839999473358494
15.48,0.22599395449569257
15.54,0.16717462746353695
15.6,0.10775365229944406
15.66,0.04794488034705369
15.72,-0.012036441400328576
15.78,-0.07197444495646477
15.84,-0.13165341823383273
15.9,-0.19085858137418937
15.96,-0.24937685972413315
16.02,-0.30699765067375967
16.08,-0.3635135815986391
16.14,-0.4187212561773265
16.2,-0.47242198639846616
16.26,-0.5244225076230978
16.32,-0.5745356741286307
16.38,-0.6225811326313736
16.44,-0.6683859713635882
16.5,-0.711785342369123
16.56,-0.7526230547780575
16.62,-0.7907521369251587
16.68,-0.8260353652891601
16.74,-0.8583457583492679
16.8,-0.8875670335815046
16.86,-0.9135940259502211
16.92,-0.9363330663886722
16.98,-0.9557023189064934
17.04,-0.9716320751109048
17.1,-0.9840650050816434
17.16,-0.9929563636967662
17.22,-0.9982741516667748
17.28,-0.999999230697499
17.34,-0.9981253923672896
17.4,-0.9926593804706332
17.46,-0.9836208667477725
17.52,-0.9710423800876874
17.58,-0.9549691894592184
17.64,-0.9354591409916635
17.7,-0.9125824497911845
17.76,-0.8864214472422384
17.82,-0.857070284703512
17.88,-0.8246345946646914
17.94,-0.7892311105835723
18.0,-0.7509872467716762
18.06,-0.7100406398403069
18.12,-0.6665386533573856
18.18,-0.6206378474977482
18.24,-0.5725034155955647
18.3,-0.5223085896267315
18.36,-0.470234016760835
18.42,-0.416467109226396
18.48,-0.36120136982925244
18.54,-0.3046356955513944
18.6,-0.2469736617366209
18.66,-0.1884227894391479
18.72,-0.1291937985718886
18.78,-0.06949984954232695
18.84,-0.009555776105247387
18.9,0.05042268780681122
18.96,0.11021968449273732
19.02,0.16962000933746174
19.08,0.22840988531620005
19.14,0.2863777323608796
19.2,0.3433149288198954
19.26,0.3990165622707952
19.32,0.45328216698369495
19.38,0.5059164453814522
19.44,0.5567299709000376
19.5,0.605539869719601
19.56,0.6521704789127603
19.62,0.6964539786414377
19.68,0.7382309961270456
19.74,0.7773511792204034
19.8,0.8136737375071054
19.86,0.8470679490009708
19.92,0.8774136306020465
19.98,0.9046015706259687
20.04,0.9285339218481049
20.1,0.9491245536478946
20.16,0.96629936198607
20.22,0.9799965360991822
20.28,0.9901667809515977
20.34,0.9967734946443929
20.4,0.9997929001426692
20.46,0.9992141308471991
20.52,0.9950392697024508
20.58,0.9872833417002362
20.64,0.9759742598059655
20.7,0.9611527245021165
20.76,0.9428720773104439
20.82,0.92119810882011
20.88,0.8962088219126018
20.94,0.867994151035593
21.0,0.836655638536056
21.06,0.8023060692174555
21.12,0.7650690644362524
21.18,0.7250786371985243
21.24,0.6824787098578454
21.3,0.6374225961502389
21.36,0.5900724494302934
21.42,0.5405986790941727
21.48,0.48917933728983237
21.54,0.4359994781215394
21.6,0.3812504916549401
21.66,0.3251294151195105
21.72,0.2678382237872849
21.78,0.20958310407999373
21.84,0.15057371152061022
21.9,0.09102241619984787
21.96,0.0311435384731763
22.02,-0.028847422361009564
22.08,-0.08873456362617356
22.14,-0.1483023562841163
22.2,-0.20733642060675878
22.26,-0.26562429771168555
22.32,-0.32295621418466564
22.38,-0.37912583703743985
22.44,-0.433931016283655
22.5,-0.4871745124605095
22.56,-0.538664706477846
22.62,-0.5882162892399417
22.68,-0.6356509285581352
22.74,-0.6807979109541472
22.8,-0.723494756044245
22.86,-0.7635878012931586
22.92,-0.8009327550332899
22.98,-0.8353952157588804
23.04,-0.8668511558263118
23.1,-0.8951873678196818
23.16,-0.9203018719752477
23.22,-0.9421042831984612
23.28,-0.9605161363526984
23.34,-0.9754711686490171
23.4,-0.9869155581206487
23.46,-0.9948081173239532
23.52,-0.999120441568739
23.58,-0.9998370111444768
23.64,-0.9969552471744957
23.7,-0.9904855208971565
23.76,-0.9804511163405908
23.82,-0.966888146525347
23.88,-0.9498454234965098
23.94,-0.9293842826530493
24.0,-0.9055783620066239
24.06,-0.8785133371642503
24.12,-0.8482866129886397
24.18,-0.8150069730458831
24.24,-0.7787941881020741
24.3,-0.7397785850778934
24.36,-0.6981005780124373
24.42,-0.6539101627242901
24.48,-0.6073663769885725
24.54,-0.5586367281726737
24.6,-0.5078965903906221
24.66,-0.4553285733456657
24.72,-0.40112186513251735
24.78,-0.345471551364521
24.84,-0.2885779130761209
24.9,-0.23064570592739567
24.96,-0.17188342330480097
25.02,-0.112502545970135
25.08,-0.05271678095814679
25.14,0.00725870753800251
25.2,0.06720807252547492
25.26,0.12691556102786788
25.32,0.1861662905629157
25.38,0.24474702248740526
25.44,0.3024469294260107
25.5,0.3590583540221683
25.56,0.4143775562803375
25.62,0.46820544680996157
25.68,0.5203483033322737
25.74,0.5706184678713244
25.8,0.6188350221200393
25.86,0.6648244385507471
25.92,0.7084212049269129
25.98,0.7494684199684349
26.04,0.7878183580268395
26.1,0.8233330007380816
26.16,0.8558845337396082
26.22,0.8853558066640532
26.28,0.9116407547540457
26.34,0.9346447805807963
26.4,0.9542850944926969
26.46,0.9704910125686596
26.52,0.9832042110039001
26.58,0.9923789360126596
26.64,0.9979821684924207
26.7,0.9999937428570207
26.76,0.9984064196109868
26.82,0.9932259114039014
26.88,0.9844708624710327
26.94,0.9721727815342197
27.0,0.956375928404503
27.06,0.9371371546945946
27.12,0.9145256992144661
27.18,0.8886229387864073
27.24,0.8595220953763332
27.3,0.8273279005953786
27.36,0.7921562187792004
27.42,0.7541336300014744
27.48,0.7133969745223362
27.54,0.6700928603112
27.6,0.6243771354163914
27.66,0.5764143270804788
27.72,0.5263770496198512
27.78,0.4744453831995887
27.84,0.4208062257393404
27.9,0.36565262028262135
27.96,0.30918306025032594
28.02,0.2516007750787702
28.08,0.19311299881316268
28.14,0.13393022428883716
28.2,0.07426544558436131
28.26,0.014333391472835277
28.32,-0.04565024736978412
28.38,-0.10546959461822357
28.44,-0.16490936521953514
28.5,-0.22375564018679642
28.56,-0.28179663647647984
28.62,-0.33882346917870015
28.68,-0.3946309032773119
28.74,-0.44901809227435996
28.8,-0.5017893010205742
28.86,-0.5527546101505285
28.92,-0.6017305995872906
28.98,-0.6485410086566037
29.04,-0.693017370434997
29.1,-0.7349996180487777
29.16,-0.774336660741918
29.22,-0.8108869276396334
29.28,-0.844518877250646
29.34,-0.875111470874499
29.4,-0.9025546082101854
29.46,-0.9267495235983298
29.52,-0.9476091414709055
29.58,-0.9650583897292565
29.64,-0.9790344699225805
29.7,-0.9894870832545352
29.76,-0.9963786116045945
29.82,-0.9996842529126553
29.88,-0.9993921104396729
29.94,-0.995503235583074
